"Participant","Sex","Reach_cm","Shoulder_Moment_Nm","Reach_bin","Reach_c","Reach_c10","Reach_10"
"P01","Male",26,13.02,"Near",-19.5238095238095,-1.95238095238095,2.6
"P01","Male",38,13.17,"Mid",-7.52380952380953,-0.752380952380953,3.8
"P01","Male",62,17.82,"Far",16.4761904761905,1.64761904761905,6.2
"P02","Female",34,9.73,"Near",-11.5238095238095,-1.15238095238095,3.4
"P02","Female",51,11.5,"Mid",5.47619047619047,0.547619047619047,5.1
"P02","Female",62,11.46,"Far",16.4761904761905,1.64761904761905,6.2
"P03","Male",35,13.25,"Near",-10.5238095238095,-1.05238095238095,3.5
"P03","Male",46,14.92,"Mid",0.476190476190474,0.0476190476190474,4.6
"P03","Male",61,15.54,"Far",15.4761904761905,1.54761904761905,6.1
"P04","Female",33,12.83,"Near",-12.5238095238095,-1.25238095238095,3.3
"P04","Female",39,12.65,"Mid",-6.52380952380953,-0.652380952380953,3.9
"P04","Female",67,11.47,"Far",21.4761904761905,2.14761904761905,6.7
"P05","Male",31,10.69,"Near",-14.5238095238095,-1.45238095238095,3.1
"P05","Male",39,12.42,"Mid",-6.52380952380953,-0.652380952380953,3.9
"P05","Male",68,15.51,"Far",22.4761904761905,2.24761904761905,6.8
"P06","Female",32,10.46,"Near",-13.5238095238095,-1.35238095238095,3.2
"P06","Female",54,14.61,"Mid",8.47619047619047,0.847619047619047,5.4
"P06","Female",57,13.48,"Far",11.4761904761905,1.14761904761905,5.7
"P07","Male",29,13.43,"Near",-16.5238095238095,-1.65238095238095,2.9
"P07","Male",47,14.82,"Mid",1.47619047619047,0.147619047619047,4.7
"P07","Male",58,15.49,"Far",12.4761904761905,1.24761904761905,5.8
"P08","Female",31,8.66,"Near",-14.5238095238095,-1.45238095238095,3.1
"P08","Female",36,9.72,"Mid",-9.52380952380953,-0.952380952380953,3.6
"P08","Female",63,12.85,"Far",17.4761904761905,1.74761904761905,6.3
"P09","Male",21,11,"Near",-24.5238095238095,-2.45238095238095,2.1
"P09","Male",50,14.81,"Mid",4.47619047619047,0.447619047619047,5
"P09","Male",69,17.8,"Far",23.4761904761905,2.34761904761905,6.9
"P10","Female",33,7.73,"Near",-12.5238095238095,-1.25238095238095,3.3
"P10","Female",41,9.27,"Mid",-4.52380952380953,-0.452380952380953,4.1
"P10","Female",63,10.3,"Far",17.4761904761905,1.74761904761905,6.3
"P11","Male",20,11.49,"Near",-25.5238095238095,-2.55238095238095,2
"P11","Male",43,14.97,"Mid",-2.52380952380953,-0.252380952380953,4.3
"P11","Male",65,16.7,"Far",19.4761904761905,1.94761904761905,6.5
"P12","Female",27,13.03,"Near",-18.5238095238095,-1.85238095238095,2.7
"P12","Female",46,12.31,"Mid",0.476190476190474,0.0476190476190474,4.6
"P12","Female",69,13.85,"Far",23.4761904761905,2.34761904761905,6.9
"P13","Male",29,14.42,"Near",-16.5238095238095,-1.65238095238095,2.9
"P13","Male",37,14.96,"Mid",-8.52380952380953,-0.852380952380953,3.7
"P13","Male",59,17.17,"Far",13.4761904761905,1.34761904761905,5.9
"P14","Female",24,9.77,"Near",-21.5238095238095,-2.15238095238095,2.4
"P14","Female",55,10.18,"Mid",9.47619047619047,0.947619047619047,5.5
"P14","Female",62,11.86,"Far",16.4761904761905,1.64761904761905,6.2
